"Date","Price","Open","High","Low","Vol.","Change %"
"09/26/2018","6,462.4","6,442.8","6,552.7","6,385.8","13.81K","0.43%"
"09/25/2018","6,434.7","6,585.1","6,585.1","6,350.2","20.21K","-2.28%"
"09/24/2018","6,585.0","6,697.8","6,721.7","6,555.1","17.76K","-1.86%"
"09/23/2018","6,710.0","6,723.1","6,783.3","6,664.2","8.51K","-0.19%"
"09/22/2018","6,723.0","6,789.8","6,840.0","6,643.6","18.26K","-0.59%"
"09/21/2018","6,762.7","6,522.1","6,790.0","6,496.0","36.99K","4.03%"
"09/20/2018","6,500.5","6,392.8","6,535.0","6,357.2","16.67K","1.71%"
"09/19/2018","6,390.9","6,330.8","6,521.5","6,112.7","29.90K","0.76%"
"09/18/2018","6,342.8","6,243.0","6,384.0","6,229.2","15.93K","1.42%"
"09/17/2018","6,254.2","6,506.1","6,532.8","6,205.1","23.54K","-3.76%"
"09/16/2018","6,498.5","6,512.8","6,517.8","6,384.5","8.73K","-0.23%"
"09/15/2018","6,513.6","6,480.1","6,568.9","6,473.6","8.35K","0.44%"
"09/14/2018","6,485.0","6,495.0","6,593.0","6,355.6","16.37K","0.15%"
"09/13/2018","6,475.6","6,334.0","6,523.4","6,334.0","19.24K","2.27%"
"09/12/2018","6,332.0","6,290.9","6,355.0","6,203.1","16.08K","0.65%"
"09/11/2018","6,290.8","6,332.1","6,397.1","6,178.1","16.61K","-0.27%"
"09/10/2018","6,308.0","6,240.0","6,363.5","6,233.2","14.45K","1.09%"
"09/09/2018","6,239.9","6,184.9","6,427.6","6,142.2","16.46K","0.89%"
"09/08/2018","6,185.0","6,404.2","6,475.1","6,130.3","21.85K","-3.42%"
"09/07/2018","6,404.1","6,516.1","6,532.9","6,322.8","20.74K","-1.71%"
"09/06/2018","6,515.6","6,705.0","6,720.8","6,310.3","53.00K","-2.90%"
"09/05/2018","6,710.5","7,357.3","7,400.0","6,700.0","55.65K","-8.81%"
"09/04/2018","7,358.9","7,267.8","7,410.3","7,246.2","20.82K","1.25%"
"09/03/2018","7,268.0","7,304.7","7,341.4","7,200.1","22.31K","-0.31%"
"09/02/2018","7,290.4","7,197.5","7,367.0","7,137.2","44.68K","1.29%"
"09/01/2018","7,197.5","7,022.9","7,260.4","7,020.5","21.39K","2.44%"
"08/31/2018","7,025.9","6,986.1","7,084.0","6,889.0","19.38K","0.45%"
"08/30/2018","6,994.7","7,037.9","7,060.0","6,802.4","24.58K","-0.72%"
"08/29/2018","7,045.7","7,079.9","7,133.6","6,931.6","19.83K","-0.48%"
"08/28/2018","7,079.7","6,910.5","7,127.2","6,872.0","30.07K","2.46%"
"08/27/2018","6,909.5","6,707.0","6,911.6","6,653.5","24.21K","3.00%"
"08/26/2018","6,708.4","6,732.8","6,784.1","6,574.5","16.75K","-0.36%"
"08/25/2018","6,732.9","6,693.3","6,795.5","6,670.0","16.88K","0.55%"
"08/24/2018","6,695.9","6,530.5","6,728.3","6,462.7","20.20K","2.58%"
"08/23/2018","6,527.2","6,363.8","6,565.6","6,350.0","19.94K","2.71%"
"08/22/2018","6,354.9","6,479.1","6,885.0","6,253.0","58.96K","-1.92%"
"08/21/2018","6,479.1","6,255.2","6,500.0","6,245.0","29.50K","3.57%"
"08/20/2018","6,255.9","6,485.1","6,520.6","6,230.2","31.72K","-3.53%"
"08/19/2018","6,485.1","6,395.0","6,550.0","6,309.3","15.35K","1.47%"
"08/18/2018","6,391.2","6,585.9","6,615.0","6,301.9","19.73K","-2.92%"
"08/17/2018","6,583.3","6,312.0","6,588.7","6,290.2","26.76K","4.27%"
"08/16/2018","6,314.0","6,270.2","6,474.7","6,215.2","25.14K","0.70%"
"08/15/2018","6,270.1","6,188.6","6,623.8","6,181.1","66.22K","1.31%"
"08/14/2018","6,189.0","6,241.3","6,244.0","5,879.3","52.70K","-1.01%"
"08/13/2018","6,251.9","6,312.2","6,541.8","6,150.0","32.33K","-0.98%"
"08/12/2018","6,313.9","6,234.7","6,481.7","6,163.3","23.05K","1.30%"
"08/11/2018","6,232.7","6,147.0","6,485.7","6,008.2","37.12K","1.40%"
"08/10/2018","6,146.8","6,533.6","6,573.6","6,014.5","43.50K","-5.86%"
"08/09/2018","6,529.1","6,280.7","6,623.7","6,188.2","33.38K","3.98%"
"08/08/2018","6,279.2","6,718.8","6,720.1","6,131.0","53.88K","-6.57%"
"08/07/2018","6,720.5","6,940.1","7,149.9","6,678.8","32.25K","-3.18%"
"08/06/2018","6,941.3","7,025.8","7,149.9","6,847.0","18.12K","-1.20%"
"08/05/2018","7,025.8","7,013.2","7,089.7","6,890.2","17.68K","0.18%"
"08/04/2018","7,013.2","7,420.0","7,490.0","6,930.0","31.72K","-5.48%"
"08/03/2018","7,420.0","7,533.2","7,533.2","7,283.6","30.88K","-1.53%"
"08/02/2018","7,535.2","7,606.0","7,707.1","7,463.1","17.75K","-0.97%"
"08/01/2018","7,608.8","7,731.3","7,755.6","7,444.2","30.74K","-1.58%"
"07/31/2018","7,730.6","8,179.5","8,179.5","7,670.0","43.55K","-5.49%"
"07/30/2018","8,179.6","8,218.5","8,274.2","7,862.9","37.58K","-0.50%"
"07/29/2018","8,221.0","8,235.7","8,293.9","8,123.0","10.19K","-0.31%"
"07/28/2018","8,246.4","8,188.0","8,246.4","8,073.9","13.66K","0.74%"
"07/27/2018","8,185.7","7,933.5","8,280.3","7,815.1","34.22K","3.11%"
"07/26/2018","7,939.0","8,178.4","8,313.1","7,869.8","32.78K","-2.90%"
"07/25/2018","8,176.0","8,380.0","8,485.7","8,073.0","36.97K","-2.60%"
"07/24/2018","8,394.5","7,719.8","8,500.2","7,692.3","64.68K","8.74%"
"07/23/2018","7,719.8","7,397.7","7,800.7","7,374.1","47.52K","4.31%"
"07/22/2018","7,400.5","7,403.4","7,572.7","7,338.9","17.17K","-0.04%"
"07/21/2018","7,403.3","7,333.0","7,458.0","7,221.0","11.41K","0.96%"
"07/20/2018","7,333.1","7,473.6","7,681.0","7,278.2","32.74K","-1.88%"
"07/19/2018","7,473.5","7,379.8","7,559.9","7,282.9","22.19K","1.28%"
"07/18/2018","7,379.4","7,320.0","7,586.5","7,249.9","39.62K","0.81%"
"07/17/2018","7,319.8","6,734.3","7,462.9","6,667.4","48.12K","8.78%"
"07/16/2018","6,729.2","6,347.7","6,750.0","6,328.9","31.00K","6.02%"
"07/15/2018","6,347.2","6,250.0","6,388.9","6,232.3","10.99K","1.55%"
"07/14/2018","6,250.1","6,219.7","6,320.0","6,179.3","8.90K","0.48%"
"07/13/2018","6,220.0","6,240.6","6,335.1","6,133.4","20.09K","-0.46%"
"07/12/2018","6,249.0","6,377.7","6,377.7","6,080.8","24.98K","-2.02%"
"07/11/2018","6,377.8","6,299.0","6,402.8","6,287.7","16.41K","1.21%"
